procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,school_id_clean,date_clean,vendor_clean,grain_clean,qty_kg_clean,cost_clean,cost_per_kg
MDM008522,2026/01/14,SCH0249,Singh Brothers,WHEAT,,,336/-,PENDING,SCH0249,2026-01-14,Singh Brothers,Wheat,0.0,336.0,0.0
MDM010158,2025-08-10,SCH0140,kumar general store,gehun,40.7,KGS,1221,Cleared,SCH0140,,Kumar General Store,Wheat,40.7,1221.0,29.999999999999996
MDM007882,03/11/2025,SCH-0514,kumar general store,Oil,54.2,KGS,6504,Paid,SCH0514,,Kumar General Store,Oil,54.2,6504.0,120.0
MDM004875,2026/03/19,SCH-0445,sharma traders pvt ltd,RICE,0.8,50kg Bags,"Rs. 1,600",Due,SCH0445,2026-03-19,Sharma Traders,Rice,0.8,1600.0,2000.0
MDM011422,16.08.2025,sch_0172,Kumar Supplies,chawal,,,"Rs. 2,104",Paid,SCH0172,,Kumar Supplies,Rice,0.0,2104.0,0.0
MDM007746,10-Apr-2025,sch0357,Kumar Supplies,chawal,14.9 kg,,596,Paid,SCH0357,,Kumar Supplies,Rice,14.9,596.0,40.0
MDM003693,2025/08/05,S0267,sharma traders pvt ltd,dal,,,2826,,SCH0267,2025-08-05,Sharma Traders,Dal,0.0,2826.0,0.0
MDM001497,09/12/2025,sch0210,Singh Agro,RICE,16100,Grams,₹644,Due,SCH0210,,Singh Agro,Rice,16100.0,644.0,0.04
MDM001214,06-25-2025,SCH0301,Singh Agro,Daal,14.2 kg,,1278,PENDING,SCH0301,,Singh Agro,Daal,14.2,1278.0,90.0
MDM005465,14.06.2025,SCH-0233,Singh Agro,Wheat,57,KGS,"1,710/-",,SCH0233,,Singh Agro,Wheat,57.0,1710.0,30.0
MDM011101,2025-10-10,sch0283,Sharma & Sons,Atta,28.5,KGS,855/-,PENDING,SCH0283,,Sharma & Sons,Atta,28.5,855.0,30.0
MDM011169,02-11-2026,0113,S. Agro Works,Chawal,33.0 kg,,1320,Due,SCH0113,,S Agro Works,Rice,33.0,1320.0,40.0
MDM004084,04.06.2025,SCH0037,Singh Brothers,WHEAT,39.6,KG,1188,Cleared,SCH0037,,Singh Brothers,Wheat,39.6,1188.0,30.0
MDM008099,27.08.2025,S0340,sharma traders pvt ltd,WHEAT,21.5,Kgs,Rs. 645,Cleared,SCH0340,,Sharma Traders,Wheat,21.5,645.0,30.0
MDM009206,08-27-2025,S0366,Goyal Rice Mill,Pulses,0.5539999999999999,Bori,"Rs. 2,493",Paid,SCH0366,,Goyal Rice Mill,Dal,0.5539999999999999,2493.0,4500.000000000001
MDM002217,01-Oct-2025,SCH0462,Singh Agro,chawal,,,"Rs. 1,800",Cleared,SCH0462,,Singh Agro,Rice,0.0,1800.0,0.0
MDM001670,23.03.2026,S0228,goyal mill,Mustard Oil,37,KGS,"4,440/-",paid,SCH0228,,Goyal Mill,Mustard Oil,37.0,4440.0,120.0
MDM000813,25.11.2025,SCH0492,Sharma Traders,gehun,0.8959999999999999,Sacks,"Rs. 1,344",Paid,SCH0492,,Sharma Traders,Wheat,0.8959999999999999,1344.0,1500.0000000000002
MDM011888,06.02.2026,SCH0321,Sharma & Sons,Cooking Oil,41900,g,,Due,SCH0321,,Sharma & Sons,Cooking Oil,41900.0,0.0,0.0
MDM008145,03/10/2025,S0462,Goyal Rice Mill,Sarson Tel,16.3,kg,,Pending,SCH0462,,Goyal Rice Mill,Sarson Tel,16.3,0.0,0.0
MDM002981,16.12.2025,SCH0183,Singh Brothers,Dal,,,"Rs. 3,159",Pending,SCH0183,,Singh Brothers,Dal,0.0,3159.0,0.0
MDM005964,2026/02/16,sch_0424,S. Agro Works,Gehun,52.5,KGS,1575,Pending,SCH0424,2026-02-16,S Agro Works,Wheat,52.5,1575.0,30.0
MDM007657,07-Oct-2025,S0117,S. Agro Works,Oil,46.6 kg,,"Rs. 5,592",Pending,SCH0117,,S Agro Works,Oil,46.6,5592.0,120.0
MDM006963,04-29-2025,SCH-0061,Kumar & Co.,Oil,0.7120000000000001,Bags,"₹4,272",Paid,SCH0061,,Kumar & Co,Oil,0.7120000000000001,4272.0,5999.999999999999
MDM000742,20-Mar-2026,SCH0076,S. Agro Works,Pulses,34.2,KG,"₹3,078",,SCH0076,,S Agro Works,Dal,34.2,3078.0,89.99999999999999
MDM005298,20/03/2026,SCH0378,Kumar Supplies,Oil,41000,g,"4,920/-",Pending,SCH0378,,Kumar Supplies,Oil,41000.0,4920.0,0.12
MDM011357,2026/02/06,sch0105,Kumar & Co.,Cooking Oil,52.2 kg,,6264,,SCH0105,2026-02-06,Kumar & Co,Cooking Oil,52.2,6264.0,120.0
MDM004065,30.07.2025,sch_0421,Kumar Supplies,Daal,47.9,kg,"Rs. 4,311",PENDING,SCH0421,,Kumar Supplies,Daal,47.9,4311.0,90.0
MDM010975,2025-04-19,SCH-0329,S. Agro Works,Mustard Oil,16600,Grams,1992,Cleared,SCH0329,,S Agro Works,Mustard Oil,16600.0,1992.0,0.12
MDM002616,2026-02-10,SCH0295,Singh Brothers,Dal,17400,Grams,"Rs. 1,566",Paid,SCH0295,,Singh Brothers,Dal,17400.0,1566.0,0.09
MDM009238,2026/02/09,sch_0053,Sharma & Sons,chawal,31.1 kg,,"1,244/-",paid,SCH0053,2026-02-09,Sharma & Sons,Rice,31.1,1244.0,40.0
MDM003882,2025-04-25,SCH0426,Goyal Rice Mill,WHEAT,28000,g,Rs. 840,Paid,SCH0426,,Goyal Rice Mill,Wheat,28000.0,840.0,0.03
MDM005266,2025/04/04,SCH0494,kumar general store,Cooking Oil,48.1,kg,"5,772/-",,SCH0494,2025-04-04,Kumar General Store,Cooking Oil,48.1,5772.0,120.0
MDM008835,21/01/2026,SCH0113,Sharma Traders,Chawal,59.0 kg,,"2,360/-",Pending,SCH0113,,Sharma Traders,Rice,59.0,2360.0,40.0
