school_id,school_name,district,block,total_enrolled_students,school_type,medium,school_id_clean
SCH0050,Govt. Senior Secondary School Tank,Moga,Moga-I,424,Secondary,Punjabi,SCH0050
SCH0583,Govt. Middle School Dara,Ferozepur,Makhu,436,Higher Secondary,Punjabi,SCH0583
SCH0083,Govt. Primary School Dutta,Bathinda,Talwandi Sabo,196,Primary,Hindi,SCH0083
SCH0306,Govt. Elementary School Bhardwaj,patiala,,375,primary,hindi,SCH0306
SCH0110,Govt. Primary School Goswami,Moga,Bagha Purana,398,Higher Secondary,punjabi,SCH0110
SCH0011,Govt. Senior Secondary School Munshi,Patiala,Samana,422,Higher Secondary,Punjabi,SCH0011
SCH0269,Govt. Middle School Narayanan,Amritsar,Amritsar-II,332,Higher Secondary,punjabi,SCH0269
SCH0354,Govt. Senior Secondary School Kakar,Moga,Moga-II,402,Secondary,English,SCH0354
SCH0329,Govt. Elementary School Modi,Sangrur,,415,Upper Primary,hindi,SCH0329
SCH0534,Govt. Elementary School Pau,Ferozepur,Makhu,410,Primary,hindi,SCH0534
SCH0282,Govt. Primary School Palan,sangrur,,203,Primary,English,SCH0282
SCH0488,Govt. Primary School Nayak,Bathinda,Maur,57,Upper Primary,Punjabi,SCH0488
SCH0235,Govt. Senior Secondary School Balan,Amritsar,Amritsar-II,315,Upper Primary,Punjabi,SCH0235
SCH0132,Govt. Primary School Rajagopal,Amritsar,Tarn Taran,89,Secondary,hindi,SCH0132
SCH0003,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English,SCH0003
SCH0228,Govt. Elementary School Sankar,Sangrur,Sunam,272,Secondary,Hindi,SCH0228
SCH0577,Govt. Elementary School Magar,Ludhiana,Doraha,80,higher secondary,English,SCH0577
SCH0427,Govt. Elementary School Mangat,Jalandhar,Phillaur,42,Primary,punjabi,SCH0427
SCH0185,Govt. Elementary School Tata,Sangrur,Sunam,102,Primary,English,SCH0185
SCH0399,Govt. Middle School Konda,Patiala,Samana,199,Higher Secondary,Punjabi,SCH0399
SCH0375,Govt. Primary School Karan,Ferozepur,Ferozepur,242,Secondary,English,SCH0375
SCH0079,Govt. Primary School Dash,Bathinda,Maur,366,higher secondary,punjabi,SCH0079
SCH0248,Govt. Elementary School Grover,Ferozepur,Mamdot,313,Secondary,punjabi,SCH0248
SCH0056,Govt. Primary School Nagar,Sangrur,Sangrur,405,Secondary,Hindi,SCH0056
SCH0221,Govt. Middle School Butala,Bathinda,Bathinda,44,Primary,hindi,SCH0221
SCH0524,Govt. Primary School Sabharwal,Ludhiana,Ludhiana-II,92,Upper Primary,Hindi,SCH0524
SCH0249,Govt. Senior Secondary School Toor,Moga,Moga-II,229,Primary,Punjabi,SCH0249
SCH0383,Govt. Senior Secondary School Sama,Ludhiana,Ludhiana-II,332,Upper Primary,English,SCH0383
SCH0500,Govt. Elementary School Kala,Bathinda,Talwandi Sabo,153,upper primary,hindi,SCH0500
SCH0553,Govt. Elementary School Brar,Ludhiana,Machhiwara,80,Secondary,Punjabi,SCH0553
SCH0040,Govt. Primary School Gole,Jalandhar,Nakodar,440,Upper Primary,Punjabi,SCH0040
SCH0146,Govt. Primary School Sundaram,Bathinda,Rampura Phul,153,upper primary,Hindi,SCH0146
SCH0378,Govt. Middle School Mitter,Amritsar,Amritsar-II,266,Higher Secondary,hindi,SCH0378
SCH0078,Govt. Senior Secondary School Bhavsar,Bathinda,Maur,224,Primary,Punjabi,SCH0078
SCH0119,Govt. Middle School Sur,Ferozepur,,252,Higher Secondary,English,SCH0119
SCH0401,Govt. Senior Secondary School Sunder,Moga,Moga-II,124,higher secondary,Hindi,SCH0401
SCH0149,Govt. Middle School Uppal,Moga,Bagha Purana,117,Higher Secondary,hindi,SCH0149
SCH0332,Govt. Senior Secondary School Lad,Ferozepur,Makhu,274,Primary,punjabi,SCH0332
SCH0133,Govt. Primary School Thakur,Moga,Moga-I,250,Higher Secondary,hindi,SCH0133
SCH0216,Govt. Senior Secondary School Oommen,Patiala,Nabha,315,secondary,hindi,SCH0216
SCH0585,Govt. Primary School Bala,Sangrur,Sangrur,131,Upper Primary,Hindi,SCH0585
SCH0438,Govt. Senior Secondary School Chacko,Bathinda,Talwandi Sabo,130,Primary,Punjabi,SCH0438
SCH0087,Govt. Elementary School Grewal,Ludhiana,Ludhiana-II,445,Secondary,punjabi,SCH0087
SCH0322,Govt. Primary School Tak,Moga,Nihal Singh Wala,179,Secondary,hindi,SCH0322
SCH0337,Govt. Elementary School Bora,Ludhiana,Ludhiana-II,207,Upper Primary,English,SCH0337
SCH0077,Govt. Middle School Buch,Amritsar,Amritsar-II,138,Higher Secondary,Hindi,SCH0077
SCH0236,Govt. Senior Secondary School Palan,Bathinda,Talwandi Sabo,384,Higher Secondary,English,SCH0236
SCH0486,Govt. Primary School Johal,Ferozepur,Ferozepur,72,secondary,punjabi,SCH0486
SCH0278,Govt. Primary School Kamdar,Amritsar,Amritsar-I,433,Secondary,punjabi,SCH0278
SCH0011,Govt. Senior Secondary School Munshi,Patiala,Samana,422,Higher Secondary,Punjabi,SCH0011
SCH0209,Govt. Elementary School Mane,Ferozepur,Zira,388,Primary,Hindi,SCH0209
SCH0466,Govt. Middle School Chand,Ferozepur,Mamdot,272,Primary,hindi,SCH0466
SCH0394,Govt. Senior Secondary School Bala,Bathinda,Talwandi Sabo,67,upper primary,hindi,SCH0394
SCH0347,Govt. Primary School Mall,Ludhiana,Machhiwara,311,Upper Primary,Hindi,SCH0347
SCH0566,Govt. Primary School Ramachandran,Amritsar,Tarn Taran,378,Secondary,punjabi,SCH0566
SCH0031,Govt. Primary School Mohanty,Sangrur,,424,Primary,Hindi,SCH0031
SCH0574,Govt. Primary School Deep,Jalandhar,Phillaur,434,Upper Primary,Hindi,SCH0574
SCH0205,Govt. Elementary School Chander,,Ferozepur,63,Secondary,hindi,SCH0205
SCH0312,Govt. Primary School Sagar,patiala,Samana,370,Secondary,English,SCH0312
SCH0512,Govt. Elementary School Chana,Ferozepur,Makhu,267,Secondary,Hindi,SCH0512
SCH0141,Govt. Middle School Sane,Sangrur,Malerkotla,63,primary,Hindi,SCH0141
SCH0474,Govt. Senior Secondary School Borra,Sangrur,Dhuri,286,Higher Secondary,hindi,SCH0474
SCH0578,Govt. Primary School Narasimhan,Jalandhar,Phillaur,291,Upper Primary,Punjabi,SCH0578
SCH0057,Govt. Elementary School Wagle,Ferozepur,Zira,401,Higher Secondary,Hindi,SCH0057
SCH0589,Govt. Elementary School Sarraf,Patiala,Patiala,358,Primary,Punjabi,SCH0589
SCH0506,Govt. Primary School Parekh,Jalandhar,Nakodar,442,Secondary,Hindi,SCH0506
SCH0229,Govt. Primary School Balay,Patiala,,309,secondary,hindi,SCH0229
SCH0210,Govt. Primary School Barman,Ferozepur,Zira,250,Higher Secondary,hindi,SCH0210
